School|Prof Name|Course Name|Course ID
SOB|Daniel Mack|Strategy|MGMT102
SOB|Kim Chang Hyun|Strategy|MGMT102
SOB|Patrick Tan Siong Kuan|Strategy|MGMT102
SOB|Say Gui Deng|Strategy|MGMT102
SOB|Tracy Li|Strategy|MGMT102
SOB|Terence Fan Ping-Ching|Strategy|MGMT102
SOB|Victor Goh|Strategy|MGMT102
SOB|Victor Goh|Corporate Entrepreneurship and Innovation|MGMT104
SOB|Gokhan Ertug|" Introduction to Organisations"|MGMT106
SOB|Abhijith Geethakrishna Acharya|International Business|MGMT205
SOB|Judy Tan|International Business|MGMT205
SOB|David Gomulya|Entrepreneurship & Business Creation|MGMT218
SOB|Jeremy Loh|Entrepreneurship & Business Creation|MGMT218
SOB|Roger Low|Family Business|MGMT222
SOB|Kenneth Goh|Social Entrepreneurship|MGMT223
SOB|Gilbert Tan Yip Wei|Managing Creativity in Organizations|MGMT227
SOB|Pang Eng Fong|Leadership Seminar with CEOs|MGMT233
SOB|Ted Feichin Tschang|Sustainability Management and Governance|MGMT235
SOB|Geng Xuesong|Managing Strategic Change|MGMT236
SOB|Ted Feichin Tschang|Play in Invention and Culture|MGMT239
SOB|Thomas Menkhoff|Doing Business with Artificial Intelligence|MGMT240
SOB|Kan Siew Ning|Doing Business with Artificial Intelligence|MGMT240
SOB|Gordon Perchthold|Business Capstone Course|MGMT300
SOB|Fong Whye Choo|Business Capstone Course|MGMT300
SOB|Josephine Kang Poh Tin|Business Capstone Course|MGMT300
SOB|Pang Eng Fong|Business Capstone Course|MGMT300
SOB|Patrick Tan Siong Kuan|Business Capstone Course|MGMT300
SOB|Stephen Matthias Harney|Business Capstone Course|MGMT300
SOB|Vivien Koh|Business Capstone Course|MGMT300
SOB|Christopher Khor|Business Capstone Course|MGMT300
SOB|Ruth Chiang|Business Capstone Course|MGMT300
SOB|Yong Hsin Ning|Business Capstone Course|MGMT300
SOB|Stacey Huang|Business Capstone Course|MGMT300
SOB|Nina Tan|Leading New Ventures to Growth|MGMT310
SOB|Lieven Demeester|Managing Process Improvement|MGMT317
SOB|William Fong|Managing Process Improvement|MGMT317
SOB|Koh Zhixiu|Design Thinking and Innovation|MGMT318
SOB|Terence Fan Ping-Ching|Management of Technology and Innovation|MGMT319
SOB|Thomas Menkhoff|Innovations for Asia's Smart Cities|MGMT320
SOB|Kan Siew Ning|Innovations for Asia's Smart Cities|MGMT320
SOB|Reddi Rayalu Kotha|Entrepreneurship Practicum|MGMT327
SOB|Thomas Menkhoff|Business Study Mission ( China's Belt and Road Initiative)|MGMT301
SOB|Andrew Min Han Chin|Business Study Mission ( China's Belt and Road Initiative)|MGMT301
SOB|Toru Yoshikawa|Business Study Mission (Asian Studies) - Japan|MGMT301
SOB|Dennis Ng|Marketing|MKTG101
SOB|Han Jin Kyung|Marketing|MKTG101
SOB|Havovi Heerjee Joshi|Marketing|MKTG101
SOB|Seh-Woong Chung|Marketing|MKTG101
SOB|Seshan Ramaswami|Marketing|MKTG101
SOB|Jung Kyun Kim|Consumer Behaviour|MKTG102
SOB|Stephanie Lin|Consumer Behaviour|MKTG102
SOB|Christilene Du Plessis|Marketing Research|MKTG103
SOB|Hulya Karaman|Marketing Research|MKTG103
SOB|Patricia Lui|Services Marketing|MKTG204
SOB|Dennis Ng|Advertising|MKTG205
SOB|Dennis Ng|Strategic Brand Management|MKTG217
SOB|Geoffrey Da Silva|Retail Management|MKTG219
SOB|Patricia Lui|Digital Marketing|MKTG220
SOB|Geoffrey Da Silva|Global Marketing|MKTG221
SOB|Raymond Teo|Customer Relationship Management|MKTG225
SOB|Tan Boon Ann|Pricing|MKTG313
SOB|Geoffrey Da Silva|Retail Strategy|MKTG314
SOB|Hanoi Lok|Leadership & Teambuilding|OBHR001
SOB|Kenneth Tai|Leadership & Teambuilding|OBHR001
SOB|Lee Boon Chuan|Leadership & Teambuilding|OBHR001
SOB|Paul Lim Heng Leong|Leadership & Teambuilding|OBHR001
SOB|John Chen|Leadership & Teambuilding|OBHR001
SOB|Png Bee Hin|Leadership & Teambuilding|OBHR001
SOB|Rani Tan|Leadership & Teambuilding|OBHR001
